games,avg_cp_loss,median_cp_loss,std_cp_loss,avg_blunders,avg_mistakes,avg_inaccuracies,opening_accuracy,middlegame_accuracy,endgame_accuracy,avg_game_length,model
310,496.20801632846707,105.09702079329023,817.5035376517509,10.63225806451613,3.6258064516129034,3.661290322580645,89.67262961588082,54.86043764403909,32.85013461303139,66.16451612903226,games_summary_20250626_165502.csv
10888,847.6952782066079,275.6948412698413,1067.9555009512965,21.206006612784716,4.8184239529757535,5.444434239529757,95.02820017320892,82.95928355232675,62.960990113574326,107.00780675973549,small-36-600k_iters_pt
1815,877.6475657952512,602.2297297297297,873.9871217930448,18.674380165289257,6.022038567493113,6.2358126721763085,91.03818336269991,74.7950431241387,50.360580021844974,94.12782369146005,adam_lichess_8layers_pt
10392,880.3701539411836,286.11540404040403,1097.8468013382494,22.303983833718245,4.878849114703618,5.604599692070824,95.15321696490739,83.46088153984194,64.99864211880977,111.07082371054658,large-16-600k_iters_pt
10000,882.0935629862478,331.4830065359477,1080.324394434539,22.1183,4.9739,5.6649,95.01778431165967,82.46374690909633,62.832596603505905,108.6124,medium-16-600k_iters_pt
15057,913.9180074451515,499.54,993.420158277063,22.754267118283856,5.516636780235107,5.9537092382280665,93.8531115125754,76.00433394533614,51.03685310556667,98.9418210798964,adam_stockfish_8layers_pt
10000,934.906722074156,402.8833429228998,1093.8292720862896,23.3013,5.1462,5.7388,94.97075677853232,81.66551067085581,63.44601243375739,110.3492,small-24-600k_iters_pt
1258,959.9666525491787,632.1208462825723,974.3939355598371,22.53974562798092,6.263116057233704,6.671701112877583,91.6393430789817,74.76134579841253,53.28229015422992,99.98807631160572,adam_lichess_16layers_pt
10477,975.3648081446852,555.6904761904761,1043.096736167074,23.958385033883744,5.180204256943782,5.823518182685883,94.68007082822909,78.49495766901829,55.463362369752254,103.91896535267729,adam_stockfish_16layers_pt
9993,977.2590187654366,523.1,1068.6471375316742,24.98358851195837,5.228860202141499,5.947663364355049,94.73333474361081,79.33600986932765,59.58118723561159,108.36465525868108,small-16-600k_iters_pt
11029,1008.2945381552476,532.7333333333333,1102.4194220281954,24.040257502946776,5.106537310726267,5.705050321878684,94.98655986123251,80.73654213108651,60.741519254627725,108.39504941517816,medium-12-600k_iters_pt
10004,1071.5940155082058,695.210224792667,1037.0278347728981,25.191923230707715,5.532786885245901,6.019092363054778,94.1694378563695,74.20100244177593,49.13385884458242,100.28368652538984,small-8-600k_iters_pt
